zip,expos_24,expos_23,expos_22,expos_21,expos_20
92025,445721436,228901576,148649214,90182586,49950362
92026,1936939690,1206974032,797744557,433318138,293998994
92027,758580452,351360818,190796391,145052303,71908699
92028,3079392764,1785826859,919496916,484988151,311101531
92029,882459955,545832486,414209353,339909851,173026310
92036,796191080,688564577,547567270,419381636,301526112
92037,363096365,160476362,112060156,83117284,46624236
92040,865773737,447281903,276047849,163056167,136680168
92054,80012193,24048990,4846480,5026537,4875312
92055,776250,0,0,0,0
92056,175145686,27630867,10458528,6834825,5054343
92057,365097889,111692447,42616165,15353687,7867756
92058,140019292,23077283,15135490,5706316,4556906
92059,87547356,83513242,63960322,104742915,78241786
92060,95803489,77163003,60589821,0,0
92061,268444627,193349864,100318691,37516745,23828210
92064,1401678730,675970509,393415748,294042073,177957066
92065,3014545622,2152774025,1540451472,1110399610,808276098
92066,19003798,16907184,15127747,11549772,9955240
92067,1134648442,587111204,440062371,365093442,88666332
92069,473728813,189205781,144091243,118065581,82280092
92070,117343357,111872900,96392025,60951417,31850341
92071,448828711,135085049,56582091,31141635,16735533
92075,98516009,15276525,3980271,3741923,1041980
92078,988811111,409565953,263574234,177579413,127382834
92081,83559505,26447498,14430727,9692995,5286547
92082,2456364806,1644518817,935619919,370982337,251725472
92083,48699878,19961334,8981375,7453073,5371705
92084,970441490,598377695,428421770,315540830,150046463
92086,184223433,162318353,147345345,116440082,81704233
92091,216699559,134452098,108064280,75317039,35401990
92101,54439403,37966745,10176115,9404033,7716414
92102,103851161,69406543,62426632,65496782,60650163
92103,136537386,70805844,37738486,28435765,25528956
92104,68893793,40163562,23674538,18077242,18762859
92105,165620437,56225242,47509008,50073463,47376312
92106,31841382,7644731,8953098,5931164,4573659
92107,44807087,22304267,19129826,13917800,13526034
92108,22165399,786256,819116,429371,317500
92109,58015620,34402757,11959220,10512492,10888940
92110,25936263,11115086,7069448,8009755,7881132
92111,94976482,17168859,11529069,12025433,11543683
92113,120372567,88515249,74235023,72099280,72638056
92114,89371927,40579922,32020662,31413010,33317392
92115,169477533,45841625,24669502,18676409,17499701
92116,152164010,61216540,34391471,27146320,21889038
92117,131098670,37287667,16967208,13487716,13749145
92118,28704780,7619858,5814498,3253187,4024171
92119,217666180,57920887,24509653,19078265,11998168
92120,223466212,81665127,48365508,41590441,31842807
92121,91467851,39818697,15780479,7622365,5926117
92122,60976672,14094397,7117919,8561592,5661087
92123,47025401,19476673,6405818,6113898,4614627
92124,262092486,77420765,27108286,29406284,18600369
92126,348914815,91114395,46772854,32674007,22602991
92127,1080494432,285592727,130016302,65437771,31164087
92128,381502460,128836730,66955354,60533197,28600491
92129,829437834,283344546,187145651,166895160,60541723
92130,973477282,280177469,159569616,125102862,52428893
92131,1221532596,625557889,451319344,347064163,279077501
92139,26429346,13866526,11021757,8203251,8321611
92147,300000,0,0,0,0
92154,156669158,42730414,25518328,18195231,12677954
92173,37099209,21929248,8108253,5559641,4687585
92201,48297211,14307975,10097617,10803338,9166252
92203,33811277,8676906,7302255,4794444,5253413
92210,51605899,12079064,5307066,2605380,4354072
92211,30494474,2739879,1559740,1294450,1322691
92220,499357426,238516002,147899409,81932766,70034652
92223,1068017406,491802109,298717391,193865202,129337034
92225,35071773,12570889,5667102,4507343,3672376
92227,41546185,15042355,10870424,9287310,6060599
92230,36995283,19563601,12474242,3825230,2777034
