ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
93103,791062305,509627940,361782829,207140683,129463107,388,250,192,132,105
93105,1884588578,1292460970,1080502980,805269400,467278136,1065,830,754,614,458
93108,2800617417,2062201507,1542726865,971133720,484631806,1150,916,727,528,332
93109,62880569,29417870,12395977,14621242,9480498,42,19,10,11,9
93110,296334271,91392811,65137961,36955941,19895052,163,54,40,24,15
93111,384010220,139535258,108852177,74769331,47614065,210,84,67,50,42
93117,432331132,279316016,240413112,177244351,118239709,282,176,173,140,97
93201,2922804,0,0,0,0,8,0,0,0,0
93202,1446614,2022769,1346325,0,0,3,3,2,0,0
93203,31963895,10673151,6309882,4991036,3227207,68,30,24,22,22
93204,2232667,3182446,399917,380035,362200,6,9,1,1,1
93205,99585711,76104375,57796022,48015480,29883542,349,308,244,221,160
93206,5720218,1988200,1165430,415879,932443,13,6,6,3,6
93207,85038657,78511975,62802042,49549521,32112608,173,173,160,150,110
93208,24890218,0,0,0,0,54,0,0,0,0
93210,17539721,19376400,11872002,9638137,9587546,28,26,20,17,20
93212,7855463,5419073,5380731,3987429,4520044,20,16,21,15,18
93215,34147564,15399076,9322248,9397862,6997946,51,38,27,33,27
93218,1527685,0,0,0,0,3,0,0,0,0
93219,3505012,1936107,1357800,1738733,1362428,7,4,6,8,6
93221,27788041,3781415,2176143,1832400,938350,31,6,6,3,3
93222,527116456,426612440,371207823,322367223,251174697,835,741,696,668,583
93223,7139037,1677607,1556431,731157,700419,16,5,9,3,3
93224,826772,778500,0,0,0,2,2,0,0,0
93225,394077485,270764131,214582294,138128545,95926219,699,492,405,309,246
93226,24007156,20213723,13640805,12279260,7054078,29,25,20,22,18
93230,47944497,19281689,9371703,2636303,1567174,65,17,16,5,5
93234,462787,609996,563660,1380735,1892409,1,2,2,4,4
93235,1092447,276840,256395,240472,226188,4,1,1,1,1
93238,172112166,96156507,57947204,31290585,19019896,219,123,82,65,45
93239,749460,406608,1165074,362966,880826,2,1,2,1,2
93240,284203743,123806101,66229953,46235408,26057579,621,252,148,117,72
93241,11439115,3630866,3558542,3149106,2903172,24,18,19,18,20
93242,843300,269500,0,274793,258750,2,1,0,1,1
93243,90940029,67768907,34266464,21305658,17005800,156,115,85,64,55
93244,9180202,5769746,675000,0,0,8,5,5,0,0
93245,10597316,2842455,849801,268788,232500,14,4,2,1,1
93247,4635945,2697463,2240343,2623478,1276398,12,4,5,6,3
93249,1888318,784350,324486,602589,295700,6,3,1,3,1
93250,12875026,3074578,1649738,661025,4256641,22,6,7,4,5
93252,11301948,16587300,7496555,5873045,3456685,23,32,26,22,17
93254,11290708,15861096,6499103,4822639,4381505,16,24,13,10,10
93255,7730090,3892616,2250902,2712647,693570,15,10,9,9,3
93256,3181597,1888910,2616117,1460592,1088834,9,5,9,3,1
93257,97420381,33517562,21404143,17421167,11632136,207,91,65,46,40
93260,105509280,96324484,82896222,61912181,40829105,219,218,202,177,139
93262,3497768,6780831,5739376,2310030,1277635,7,7,5,5,4
93263,11337506,7527145,4376565,4338747,2504360,20,14,11,12,9
93265,336474390,276316659,211759271,172638279,145766437,592,565,480,436,416
93267,5356245,2578326,3548865,1747067,1756168,13,5,8,2,4
